outcome,term,estimate,std.error,statistic,p.value,lwr,upr,model
w4.cigarettes.bin.30,raceNon Hispanic Black/Af-Am,-0.16540817649870293,0.16040849870868568,-1.031168409593416,0.3024618519816952,-0.4798030567818666,0.14898670378446072,Model  1
w4.cigarettes.bin.30,raceNon Hispanic Asian/Pacific Islander,-0.21048741308753485,0.23691886145506913,-0.8884367069586525,0.37430588766483536,-0.6748398487977051,0.25386502262263533,Model  1
w4.cigarettes.bin.30,raceHispanic,-0.15364431985785773,0.1637003921662816,-0.93857026134543875,0.34795142730532014,-0.47449119275885243,0.16720255304313694,Model  1
w4.cigarettes.bin.30,raceMultiple Races or Other,0.10970383386653197,0.1978131734171718,0.554583054158762,0.5791798825403105,-0.2780028616987007,0.49741052943176467,Model  1
w4.cigarettes.bin.30,pseudo.gpa,-0.370115945045296,0.05756350328956992,-6.42969805335594,1.2785766898812275e-10,-0.48293833831680594,-0.25729355177378604,Model  1
w4.cigarettes.bin.30,sespc_al,-0.004794715036646687,0.04122039844460284,-0.11631898811192785,0.9073997374220918,-0.0855852114164591,0.07599578134316572,Model  1
w4.cigarettes.bin.30,nhood1_d,0.011482964959816462,0.0055893087399390366,2.054451720972871,0.039931991565775586,5.281211310610018e-4,0.022437808788571923,Model  1
w4.cigarettes.bin.30,w1.GE_male_std,0.1169881437923001,0.04246704762660186,2.754798139511289,0.005872835636269777,0.03375425991441329,0.20022202767018693,Model  1
w4.cigarettes.bin.30,w1.cigarettes,1.1831755876951555,0.10702351821396794,11.055285860904691,2.0667737385167985e-28,0.9734133464970119,1.3929378288932992,Model  1
w4.cigarettes.bin.30,(Intercept),0.11933115220651776,0.23073818059357667,0.5171712453462923,0.6050366228720034,-0.3329073716151913,0.5715696760282268,Model  2
w4.cigarettes.bin.30,raceNon Hispanic Black/Af-Am,-0.11217919715269205,0.1610577038704298,-0.6965155621673317,0.4861060148509447,-0.42784649617145165,0.20348810186606758,Model  2
w4.cigarettes.bin.30,raceNon Hispanic Asian/Pacific Islander,-0.1519870498658313,0.23104156797914852,-0.657834220894606,0.5106446623009053,-0.6048202020366249,0.3008461023049622,Model  2
w4.cigarettes.bin.30,raceHispanic,-0.15104550720561283,0.16783338533785275,-0.8999729517554239,0.36813464514655636,-0.4799928978712369,0.17790188346001123,Model  2
w4.cigarettes.bin.30,raceMultiple Races or Other,0.14356376236632612,0.21705202233244797,0.6614255920013338,0.5083394181560851,-0.2818503841768553,0.5689779089095075,Model  2
w4.cigarettes.bin.30,pseudo.gpa,-0.37357652851714057,0.05775672760295559,-6.4681041329984135,9.924010348641222e-11,-0.48677763448382394,-0.2603754225504572,Model  2
w4.cigarettes.bin.30,sespc_al,-0.010114606781008454,0.04237159788211834,-0.23871195061248845,0.8113289493716012,-0.09316141259737401,0.07293219903535711,Model  2
w4.cigarettes.bin.30,nhood1_d,0.01197606914179094,0.005668312880245009,2.1128101773509163,0.03461701823853808,8.663800434062247e-4,0.023085758240175655,Model  2
w4.cigarettes.bin.30,w4.GE_male_std,0.25732572984508495,0.045411539749417675,5.666527302641939,1.4572062093306596e-8,0.16832074745371725,0.3463307122364526,Model  2
w4.cigarettes.bin.30,w1.cigarettes,1.1745440121580792,0.10837675810851123,10.83760053961088,2.2838254107882128e-27,0.962129469504188,1.3869585548119705,Model  2
w4.cigarettes.bin.30,(Intercept),0.1625207315634205,0.22723432745656552,0.7152120605302708,0.4744780177636444,-0.28285036630262894,0.60789182942947,Model  3
w4.cigarettes.bin.30,raceNon Hispanic Black/Af-Am,-0.1061037896977537,0.16215626532400712,-0.6543304971025693,0.5128989018079071,-0.42392422960032883,0.21171665020482144,Model  3
w4.cigarettes.bin.30,raceNon Hispanic Asian/Pacific Islander,-0.20519533842796148,0.2228625742435838,-0.9207258738907304,0.35719356408198927,-0.6419979574472695,0.23160728059134653,Model  3
w4.cigarettes.bin.30,raceHispanic,-0.16848037318267498,0.16653496870320542,-1.0116816575798961,0.31169028841431096,-0.49488291400746254,0.15792216764211262,Model  3
w4.cigarettes.bin.30,raceMultiple Races or Other,0.14080620699641633,0.2079517840337347,0.6771098774203073,0.4983362423758335,-0.2667718002305551,0.5483842142233877,Model  3
w4.cigarettes.bin.30,pseudo.gpa,-0.38440298917555993,0.057549533912561124,-6.67951524611145,2.3973390058863754e-11,-0.49719800297124617,-0.2716079753798737,Model  3
w4.cigarettes.bin.30,sespc_al,-0.007369930951097492,0.04172793451779153,-0.1766186377606391,0.8598079534201934,-0.08915517975521463,0.07441531785301965,Model  3
w4.cigarettes.bin.30,nhood1_d,0.011833429905926493,0.005590873591832239,2.1165618774164496,0.03429704845869384,8.755190238192156e-4,0.02279134078803377,Model  3
w4.cigarettes.bin.30,delta_w1_w4_GE,0.07444613941253247,0.03524102269653862,2.112485215130961,0.03464485277163835,0.005375004148958168,0.14351727467610678,Model  3
w4.cigarettes.bin.30,w1.cigarettes,1.201350342732883,0.10623655024666213,11.308258221333091,1.1943693778802386e-29,0.9931305304076455,1.4095701550581206,Model  3
w4.drunk.bin.30,(Intercept),0.8284244829432599,0.2213910073506603,3.741906651299173,1.8262935850959066e-4,0.3945060820349234,1.2623428838515964,Model  1
w4.drunk.bin.30,raceNon Hispanic Black/Af-Am,-0.10302925279666544,0.1418031366983394,-0.7265654004244038,0.46749223010084867,-0.3809582936202206,0.17489978802688974,Model  1
w4.drunk.bin.30,raceNon Hispanic Asian/Pacific Islander,-0.1367584439243561,0.24290509032459712,-0.5630118485438246,0.57342681577771,-0.6128436726220151,0.3393267847733029,Model  1
