outcome,term,contrast,above_school_avg,estimate,std.error,statistic,p.value,conf.low,conf.high
w4.cigarettes,delta_w1_w4_GE,mean(dY/dX),0,0.0525910004380538,0.0097871693473152,5.37346382511307,7.72383067347995e-08,0.0334085010067216,0.0717734998693859
w4.cigarettes,delta_w1_w4_GE,mean(dY/dX),1,0.0352843852171551,0.00975661185576396,3.61645884235007,0.000298660778931992,0.0161617773687212,0.0544069930655889
,,,,,,,,,
w4.marijuana,delta_w1_w4_GE,mean(dY/dX),0,0.0386049960463255,0.0114831121656691,3.36189314267453,0.000774100736479897,0.0160985097711803,0.0611114823214707
w4.marijuana,delta_w1_w4_GE,mean(dY/dX),1,0.0595458854991398,0.0096665171569602,6.16001446356145,7.27383005417385e-10,0.0405998600155593,0.0784919109827203
,,,,,,,,,
w4.drunk,delta_w1_w4_GE,mean(dY/dX),0,0.0434022720184953,0.0105168675502253,4.1269200939557,3.67654070471786e-05,0.0227895903898758,0.0640149536471149
w4.drunk,delta_w1_w4_GE,mean(dY/dX),1,0.0508251805126254,0.00969386257469708,5.24302672139063,1.5796365170215e-07,0.0318255589951384,0.0698248020301124
,,,,,,,,,
w4.recreational,delta_w1_w4_GE,mean(dY/dX),0,0.0350299205652612,0.00982750513739489,3.56447746152459,0.000364581775950315,0.0157683644380849,0.0542914766924376
w4.recreational,delta_w1_w4_GE,mean(dY/dX),1,0.0550178173304601,0.0102331665172234,5.37642158347173,7.59807679006473e-08,0.034961179508901,0.0750744551520191
,,,,,,,,,
w4.prescription,delta_w1_w4_GE,mean(dY/dX),0,0.0224270455792782,0.00776482552673879,2.88828712274976,0.00387346118359482,0.00720826720063296,0.0376458239579235
w4.prescription,delta_w1_w4_GE,mean(dY/dX),1,0.0220421440530212,0.00813625204281218,2.70912748732925,0.00674604124286169,0.00609538307996891,0.0379889050260735
