outcome,term,estimate,std.error,statistic,p.value,lwr,upr,model
w4.cigarettes.cont.30,w4.GE_male_std,1.1754854312253846,1.0355592039125412,4.627186891224337,3.706660051602126e-6,1.0976779211373864,1.258808228183525,Model  2
w4.cigarettes.cont.30,delta_w1_w4_GE,1.056151654574904,1.0227914597143475,2.424242182451814,0.015340371455952299,1.0105177209137022,1.1038463694161844,Model  3
w4.drunk.cont.30,w1.GE_male_std,1.0477878590522756,1.019683105547621,2.3948996853265934,0.016624913003481855,1.0085137600542167,1.0885913916715737,Model  1
w4.drunk.cont.30,w4.GE_male_std,1.1024300130421956,1.0223609570015966,4.409610580525812,1.035566690392756e-5,1.055667211064547,1.1512642629400607,Model  2
w4.drunk.cont.30,delta_w1_w4_GE,1.0271817153157616,1.0144022158364976,1.875511295195493,0.060722417054932344,0.9987930985829955,1.0563772194420666,Model  3
w4.fav.cont.30,w1.GE_male_std,0.9535921882124837,1.0810012229006107,-0.6100988082200436,0.5417963560726131,0.8185865033917866,1.1108637360279705,Model  1
w4.fav.cont.30,w4.GE_male_std,1.296409302093869,1.132238611043366,2.0902187750099834,0.03659815173620286,1.0163087806642037,1.653707131662401,Model  2
w4.fav.cont.30,delta_w1_w4_GE,1.2061095335740548,1.0703385935906327,2.7568930480284703,0.005835343449851183,1.055665407147119,1.377993630490816,Model  3
w4.marijuana.cont.30,w1.GE_male_std,1.0926612744428579,1.050976745910941,1.7823072681220677,0.0746991381166197,0.9912058111970858,1.2045012722687725,Model  1
w4.marijuana.cont.30,w4.GE_male_std,1.2641731042905984,1.0752689509289477,3.2301997551291017,0.0012370375664020057,1.0965644311703464,1.4574005796504492,Model  2
w4.marijuana.cont.30,delta_w1_w4_GE,1.085830685355911,1.038270679886737,2.1925700176857212,0.028338373279561187,1.0087741425499153,1.1687732937723943,Model  3
