outcome,term,estimate,std.error,statistic,p.value,lwr,upr,model
w4.cigarettes.bin.30,(Intercept),0.100925582971012,0.253031703656965,0.398865365534735,0.689992410259812,-0.395007443143451,0.596858609085475,Model  1
w4.cigarettes.bin.30,raceNon Hispanic Black/Af-Am,-0.208453645686552,0.144647913943359,-1.44111062512923,0.149553432279403,-0.491958347454385,0.0750510560812801,Model  1
w4.cigarettes.bin.30,raceNon Hispanic Asian/Pacific Islander,-0.322755231222064,0.281441109130105,-1.14679490931391,0.251466393660845,-0.874369668886076,0.228859206441948,Model  1
w4.cigarettes.bin.30,raceHispanic,-0.229748572206846,0.168908818671801,-1.36019287810697,0.173768895703094,-0.560803773474784,0.101306629061091,Model  1
w4.cigarettes.bin.30,raceMultiple Races or Other,0.0736827570989566,0.20091689335778,0.366732512470949,0.713818552306972,-0.320107117767968,0.467472631965881,Model  1
w4.cigarettes.bin.30,pseudo.gpa,-0.357477634726935,0.0625893241586473,-5.71147938617814,1.11998265315715e-08,-0.480150455894587,-0.234804813559284,Model  1
w4.cigarettes.bin.30,sespc_al,0.0172450890475466,0.042382074452644,0.406895822591591,0.684084504253698,-0.0658222504697307,0.100312428564824,Model  1
w4.cigarettes.bin.30,nhood1_d,0.0107405841702,0.00564614704216401,1.90228559227947,0.0571338282191268,-0.000325660683858845,0.0218068290242588,Model  1
w4.cigarettes.bin.30,w1.GE_male_std,0.12646000110042,0.0448661090262529,2.81860860781182,0.00482322906818441,0.038524043282517,0.214395958918323,Model  1
w4.cigarettes.bin.30,w1.cigarettes,1.20014241346296,0.113171322861271,10.6046512766677,2.83519683997704e-26,0.978330696572109,1.4219541303538,Model  1
w4.cigarettes.bin.30,(Intercept),0.0724267982966848,0.252322433857175,0.287040661385192,0.774081186336153,-0.422116084554867,0.566969681148237,Model  2
w4.cigarettes.bin.30,raceNon Hispanic Black/Af-Am,-0.154687772122905,0.147081467917481,-1.05171490544065,0.292930370307885,-0.44296215203445,0.133586607788641,Model  2
w4.cigarettes.bin.30,raceNon Hispanic Asian/Pacific Islander,-0.251391675090837,0.275834367381535,-0.911386342018473,0.362091847380858,-0.792017100857034,0.289233750675361,Model  2
w4.cigarettes.bin.30,raceHispanic,-0.228617887165654,0.169148536541431,-1.35158063936105,0.17650950725272,-0.560142926824516,0.102907152493209,Model  2
w4.cigarettes.bin.30,raceMultiple Races or Other,0.105711489909367,0.223315510493782,0.473372806374371,0.635947227365601,-0.331978867847623,0.543401847666356,Model  2
w4.cigarettes.bin.30,pseudo.gpa,-0.366788248517191,0.0627994970528387,-5.84062398156757,5.20056653912027e-09,-0.489873000987984,-0.243703496046398,Model  2
w4.cigarettes.bin.30,sespc_al,0.0196047940874916,0.0438572153975507,0.447014109532054,0.654864872494753,-0.0663537685539233,0.105563356728907,Model  2
w4.cigarettes.bin.30,nhood1_d,0.0115530804346865,0.0057276309231554,2.01707836794795,0.0436873357022034,0.000327130108564021,0.022779030760809,Model  2
w4.cigarettes.bin.30,w4.GE_male_std,0.294119323905623,0.0515988643526399,5.70011234928614,1.19728495228771e-08,0.192987408131281,0.395251239679965,Model  2
w4.cigarettes.bin.30,w1.cigarettes,1.17752996739677,0.115906049346646,10.1593486624246,3.0108105883528e-24,0.950358285087017,1.40470164970651,Model  2
w4.cigarettes.bin.30,(Intercept),0.124078328145561,0.248086289503225,0.500141819179204,0.616975221761378,-0.362161864338936,0.610318520630059,Model  3
w4.cigarettes.bin.30,raceNon Hispanic Black/Af-Am,-0.141802249468012,0.145944112419727,-0.971620212127481,0.331239523434566,-0.427847453566342,0.144242954630317,Model  3
